model,mse,mae,mape
ARIMA,2400.020964247881,44.1369867960612,0.1786891022986344
LSTM_Bidirectional_Seq2Seq,1605.1020437958568,34.84856618245443,0.1417535134830325
LSTM_Seq2Seq,1610.3563535520414,34.622789001464845,0.14070029636001052
GRU_Seq2Seq,912.6497724030706,24.65723520914713,0.10097466295414446
BiLSTM_Regressor,844.5628991771409,24.4190200805664,0.09865754443081266
LSTM_Attention_Regressor,6204.104402721479,75.01321360270182,0.29931244682844393
Transformer_Regressor,8471.054593567385,88.56594492594401,0.3525747248378726
