model,mse,mae,mape
ARIMA,2387.555400037168,44.0485834757487,0.1781930186317044
LSTM_Bidirectional_Seq2Seq,649.1805902290391,20.598795064290364,0.08438724623096878
LSTM_Seq2Seq,2752.104077852696,46.94592844645182,0.18855128359533233
GRU_Seq2Seq,3691.3322305045945,55.957184346516925,0.22451663277802644
BiLSTM_Regressor,9729.029218991715,93.08170013427734,0.37102156602946806
LSTM_Attention_Regressor,6922.943781128518,79.0337142944336,0.31510282801925893
Transformer_Regressor,846.1402750419143,22.954310099283855,0.08843133346499227
